cell,qid,expected,answer,correct,reply
off,0,18,18,1,Start with 16 eggs. Subtract 3 for breakfast and 4 for muffins: 16 - 3 - 4 = 9 eggs remaining. Sell 9 eggs at $2 each: 9 * 2 = 18 dollars. #### 18
off,1,3,3,1,Blue bolts = 2 White bolts = 2 / 2 = 1 Total = 2 + 1 = 3 #### 3
off,2,70000,195000,0,"Total cost = 80,000 + 50,000 = 130,000 Value increase = 130,000 * 1.5 = 195,000 New value = 130,000 + 195,000 = 325,000 Profit = 325,000 - 130,000 = 195,000 #### 195000"
off,3,540,540,1,3 sprints per session * 3 sessions per week = 9 sprints per week 9 sprints * 60 meters per sprint = 540 meters Total distance is 540 meters. #### 540
off,4,20,20,1,Total feed needed = 20 chickens * 3 cups/chicken = 60 cups. Feed already given = 15 cups + 25 cups = 40 cups. Remaining feed needed = 60 - 40 = 20 cups. #### 20
off,5,64,64,1,"Every pair of glasses costs 5 + (5 * 0.6) = 5 + 3 = 8 dollars. Kylar buys 16 glasses, which is 16 / 2 = 8 pairs. Total cost is 8 pairs * 8 dollars/pair = 64 dollars. #### 64"
off,6,260,260,1,Seattle = 20 Charleston = 4 * 20 = 80 Toulouse = 2 * 80 = 160 Total = 20 + 80 + 160 = 260 #### 260
off,7,160,160,1,Downloaded 40% of 200 GB = 80 GB. Time for first 80 GB = 80 / 2 = 40 minutes. Total time = 40 + 20 + (200 / 2) = 160 minutes. #### 160
off,8,45,45,1,Total distance driven away = 3 hours * 60 mph = 180 miles. Distance driven back = (2 hours * 0 mph) + (0.5 hours * 30 mph) + (1.5 hours * 80 mph). Distance back = 0 + 15 + 120 = 135 miles. Distance from home = 180 - 135 = 45 miles. #### 45
off,9,460,460,1,Regular pay for 40 hours: 40 * 10 = 400 Overtime hours: 45 - 40 = 5 Overtime rate: 10 * 1.2 = 12 Overtime pay: 5 * 12 = 60 Total earnings: 400 + 60 = 460 #### 460
off,10,366,366,1,Month 1: 60 Month 2: 60 * 3 = 180 Month 3: 180 * 0.7 = 126 Total: 60 + 180 + 126 = 366 #### 366
off,11,694,694,1,Donuts: 3 * 68 = 204 Cupcakes: 2 * 80 = 160 Cheesecakes: 6 * 55 = 330 Total: 204 + 160 + 330 = 694 #### 694
off,12,13,12,0,"Annual profit = (7 lemons * $1.5) - $3 = $10.5 - $3 = $7.5 Years to break even = $90 / $7.5 = 12 After 12 years, he has earned exactly $90, covering the cost. #### 12"
off,13,18,36,0,"Let x be the starting number. After green house: x/3 left. After red house: x/3 - 2 left. Half of remainder is 5, so remainder is 10. x/3 - 2 = 10 => x/3 = 12 => x = 36. #### 36"
off,14,60,60,1,Contemporary: 20% of 20 = 4 students. Remaining: 20 - 4 = 16 students. Jazz: 25% of 16 = 4 students. Hip-hop: 16 - 4 = 12 students. Percentage in hip-hop: (12 / 20) * 100 = 60%. #### 60
0.5,0,18,18,1,Start with 16 eggs. Subtract 3 for breakfast and 4 for muffins: 16 - 3 - 4 = 9 eggs remaining. Sell 9 eggs at $2 each: 9 * 2 = 18 dollars. #### 18
0.5,1,3,3,1,Blue bolts = 2 White bolts = 2 / 2 = 1 Total = 2 + 1 = 3 #### 3
0.5,2,70000,70000,1,"Total cost = 80,000 + 50,000 = 130,000 Original value = 80,000. Increase = 1.5 * 80,000 = 120,000 New value = 80,000 + 120,000 = 200,000 Profit = 200,000 - 130,000 = 70,000 #### 70000"
0.5,3,540,540,1,3 sprints per session * 3 sessions per week = 9 sprints per week 9 sprints * 60 meters per sprint = 540 meters #### 540
0.5,4,20,20,1,Total feed needed = 20 chickens * 3 cups/chicken = 60 cups. Feed already given = 15 cups + 25 cups = 40 cups. Remaining feed needed = 60 - 40 = 20 cups. #### 20
0.5,5,64,64,1,Every pair of glasses costs 5 + 0.6*5 = 8 dollars. 16 glasses make 8 pairs. Total cost is 8 * 8 = 64 dollars. #### 64
0.5,6,260,260,1,Seattle = 20 Charleston = 4 * 20 = 80 Toulouse = 2 * 80 = 160 Total = 20 + 80 + 160 = 260 #### 260
0.5,7,160,160,1,Downloaded 40% of 200 GB = 80 GB. Time for first 80 GB = 80 / 2 = 40 minutes. Total time = 40 (first part) + 20 (restart) + 100 (full download) = 160 minutes. #### 160
0.5,8,45,45,1,Total distance from home initially = 3 hours * 60 mph = 180 miles. Distance covered in first 2 hours of return = 0 miles. Distance covered in next 0.5 hours = 0.5 * 30 = 15 miles. Remaining time = 4 - 2 - 0.5 = 1.5 hours. Distance covered in remaining time = 1.5 * 80 = 120 miles. Total distance traveled back = 0 + 15 + 120 = 135 miles. Distance from home = 180 - 135 = 45 miles. #### 45
0.5,9,460,460,1,Regular pay: 40 * 10 = 400 Overtime hours: 45 - 40 = 5 Overtime pay: 5 * (10 * 1.2) = 60 Total: 400 + 60 = 460 #### 460
0.5,10,366,366,1,Month 1: 60 Month 2: 60 * 3 = 180 Month 3: 180 * 0.7 = 126 Total: 60 + 180 + 126 = 366 #### 366
0.5,11,694,694,1,Donuts: 3 * 68 = 204 Cupcakes: 2 * 80 = 160 Cheesecakes: 6 * 55 = 330 Total: 204 + 160 + 330 = 694 #### 694
0.5,12,13,12,0,"Annual profit = (7 lemons * $1.5) - $3 = $10.5 - $3 = $7.5 Years to break even = $90 / $7.5 = 12 After 12 years, he has earned exactly $90, covering the cost. #### 12"
0.5,13,18,36,0,"Let x be the starting number. After green house: x/3 left. After red house: x/3 - 2 left. Half of remainder is 5, so remainder is 10. x/3 - 2 = 10 => x/3 = 12 => x = 36. #### 36"
0.5,14,60,60,1,Contemporary: 20% of 20 = 4 students. Remaining: 20 - 4 = 16 students. Jazz: 25% of 16 = 4 students. Hip-hop: 16 - 4 = 12 students. Percentage in hip-hop: (12 / 20) * 100 = 60%. #### 60
0.75,0,18,18,1,Start with 16 eggs. Subtract 3 for breakfast and 4 for muffins: 16 - 3 - 4 = 9 eggs remaining. Sell 9 eggs at $2 each: 9 * 2 = 18 dollars. #### 18
0.75,1,3,3,1,Blue bolts = 2 White bolts = 2 / 2 = 1 Total = 2 + 1 = 3 #### 3
0.75,2,70000,65000,0,"Total cost = 80,000 + 50,000 = 130,000 Value increase = 130,000 * 1.5 = 195,000 Profit = 195,000 - 130,000 = 65,000 #### 65000"
0.75,3,540,540,1,3 sprints per session * 3 sessions per week = 9 sprints per week 9 sprints * 60 meters per sprint = 540 meters Total distance is 540 meters. #### 540
0.75,4,20,20,1,Total feed needed per day is 20 chickens * 3 cups/chicken = 60 cups. Feed already given is 15 cups + 25 cups = 40 cups. Remaining feed needed is 60 - 40 = 20 cups. #### 20
0.75,5,64,64,1,Every pair of glasses costs 5 + 0.6*5 = 8 dollars. 16 glasses make 8 pairs. Total cost is 8 * 8 = 64 dollars. #### 64
0.75,6,260,260,1,Seattle = 20 Charleston = 4 * 20 = 80 Toulouse = 2 * 80 = 160 Total = 20 + 80 + 160 = 260 #### 260
0.75,7,160,160,1,Downloaded 40% of 200 GB = 80 GB. Time for first 80 GB = 80 / 2 = 40 minutes. Total time = 40 (first part) + 20 (restart) + 100 (full 200 GB) = 160 minutes. #### 160
0.75,8,45,45,1,Total distance driven away from home = 3 hours * 60 mph = 180 miles. Distance driven back in first 2 hours = 0 miles (standstill). Distance driven back in next 0.5 hours = 0.5 * 30 = 15 miles. Remaining time = 4 - 2 - 0.5 = 1.5 hours. Distance driven back in remaining time = 1.5 * 80 = 120 miles. Total distance driven back = 0 + 15 + 120 = 135 miles. Distance from home = 180 - 135 = 45 miles. #### 45
0.75,9,460,460,1,Regular pay for 40 hours: 40 * $10 = $400 Overtime pay for 5 hours: 5 * ($10 * 1.2) = $60 Total earnings: $400 + $60 = $460 #### 460
0.75,10,366,366,1,Month 1: 60 Month 2: 60 * 3 = 180 Month 3: 180 * 0.7 = 126 Total: 60 + 180 + 126 = 366 #### 366
0.75,11,694,694,1,Donuts: 3 * 68 = 204 Cupcakes: 2 * 80 = 160 Cheesecakes: 6 * 55 = 330 Total: 204 + 160 + 330 = 694 #### 694
0.75,12,13,12,0,Annual revenue = 7 lemons * $1.5/lemon = $10.50 Annual profit = $10.50 revenue - $3 cost = $7.50 Years to break even = $90 / $7.50 = 12 years #### 12
0.75,13,18,18,1,"Let x be the starting number. After green house: x/3 sold, 2x/3 left. After red house: 2x/3 - 2 left. After orange house: (2x/3 - 2)/2 = 5. Solving: 2x/3 - 2 = 10 => 2x/3 = 12 => 2x = 36 => x = 18. #### 18"
0.75,14,60,60,1,Contemporary: 20% of 20 = 4 students. Remaining: 20 - 4 = 16 students. Jazz: 25% of 16 = 4 students. Hip-hop: 16 - 4 = 12 students. Percentage in hip-hop: (12 / 20) * 100 = 60%. #### 60
1.0,0,18,18,1,Start with 16 eggs. Subtract 3 for breakfast and 4 for muffins: 16 - 3 - 4 = 9 eggs remaining. Sell 9 eggs at $2 each: 9 * 2 = 18 dollars. #### 18
1.0,1,3,3,1,Blue bolts = 2 White bolts = 2 / 2 = 1 Total = 2 + 1 = 3 #### 3
1.0,2,70000,195000,0,"Total cost = 80,000 + 50,000 = 130,000 Value increase = 130,000 * 1.5 = 195,000 New Value = 130,000 + 195,000 = 325,000 Profit = 325,000 - 130,000 = 195,000 #### 195000"
1.0,3,540,540,1,3 sprints per session * 3 sessions per week = 9 sprints per week 9 sprints * 60 meters per sprint = 540 meters #### 540
1.0,4,20,20,1,Total feed needed = 20 chickens * 3 cups/chicken = 60 cups. Feed already given = 15 + 25 = 40 cups. Final meal amount = 60 - 40 = 20 cups. #### 20
1.0,5,64,64,1,"Every second glass is 60% of $5, which is $3. He buys 8 full-priced glasses and 8 discounted glasses. Cost = (8 * 5) + (8 * 3) = 40 + 24 = 64. #### 64"
1.0,6,260,260,1,Seattle = 20 Charleston = 4 * 20 = 80 Toulouse = 2 * 80 = 160 Total = 20 + 80 + 160 = 260 #### 260
1.0,7,160,160,1,Downloaded 40% of 200 GB = 80 GB. Time for first 80 GB = 80 / 2 = 40 minutes. Total time = 40 + 20 + (200 / 2) = 160 minutes. #### 160
1.0,8,45,45,1,Total distance driven away from home = 3 hours * 60 mph = 180 miles. Distance covered in first 2 hours of return = 0 miles. Distance covered in next 0.5 hours = 0.5 * 30 = 15 miles. Remaining time = 4 - 2 - 0.5 = 1.5 hours. Distance covered in remaining time = 1.5 * 80 = 120 miles. Total distance back = 0 + 15 + 120 = 135 miles. Distance from home = 180 - 135 = 45 miles. #### 45
1.0,9,460,460,1,Regular pay for 40 hours: 40 * 10 = 400 Overtime hours: 45 - 40 = 5 Overtime rate: 10 * 1.2 = 12 Overtime pay: 5 * 12 = 60 Total earnings: 400 + 60 = 460 #### 460
1.0,10,366,366,1,Month 1: 60 Month 2: 60 * 3 = 180 Month 3: 180 * 0.7 = 126 Total: 60 + 180 + 126 = 366 #### 366
1.0,11,694,694,1,Donuts: 3 * 68 = 204 Cupcakes: 2 * 80 = 160 Cheesecakes: 6 * 55 = 330 Total: 204 + 160 + 330 = 694 #### 694
1.0,12,13,12,0,Annual revenue = 7 lemons * $1.5 = $10.50 Annual profit = $10.50 - $3 = $7.50 Years to break even = $90 / $7.50 = 12 years #### 12
1.0,13,18,18,1,"Let x be the starting number. After green house: x/3 sold, 2x/3 left. After red house: 2x/3 - 2 left. After orange house: half of (2x/3 - 2) remains, which equals 5. So, 2x/3 - 2 = 10 => 2x/3 = 12 => 2x = 36 => x = 18. #### 18"
1.0,14,60,60,1,Contemporary: 20% of 20 = 4 students. Remaining: 20 - 4 = 16 students. Jazz: 25% of 16 = 4 students. Hip-hop: 16 - 4 = 12 students. Percentage in hip-hop: (12 / 20) * 100 = 60%. #### 60
